TA;doc;url;page;term;portfolio;context
HST1;04 - Manufacturer clarification response.pdf;portfoliodocument;4;compassionate;1;   retrospective eculizumab study (C09-001r), each of which attempted to collect data from    all patients on eculizumab prior the commercial availability of eculizumab. Specifically,    physicians receiving drug for patients through the Alexion-sponsored compassionate use    program were contacted to engage in clinical review and participation in the Alexion C09-    001r trial, a retrospective, observational, non-interventional trial of patients who had been
HST1;04 - Manufacturer clarification response.pdf;portfoliodocument;4;compassionate;1;"   incorrectly noted in the responses to Questions 4 and 7 that patients enrolled in the C09-    001r retrospective data collection were all receiving eculizumab through the Alexion-    sponsored compassionate use program; our apologies. More than half of the patients in    this study received eculizumab through a commercial purchase; however, this does not    impact the clinical data results in any way."
HST1;04 - Manufacturer clarification response.pdf;portfoliodocument;8;compassionate;1;"diagnosis of aHUS and had received at least one dose of eculizumab prior to initiation of Alexion-sponsored controlled clinical trial through the Alexion pre-approval compassionate use program. As this was a non-study treatment protocol, the dosing regimen was not specified; the duration of usage varied among patients, ranging from a single dose to chronic therapy, at the treating physician’s discretion. Xxxxxxxxxxxx"
HST1;04 - Manufacturer clarification response.pdf;portfoliodocument;8;compassionate;1;"submitted on October 18th, we incorrectly noted in the responses to Questions 4 and 7 that patients enrolled in the C09-001r retrospective data collection were all receiving eculizumab through the Alexion-sponsored compassionate use program; our apologies. More than half of the patients in this study received eculizumab through a commercial purchase; however, this does not impact the clinical data results in any way."
HST1;08 - Consultee submission - aHUS Action Part 1 - Professional Statement.pdf;portfoliodocument;10;compassionate;1;quality of life? Are there any adverse effects that were not apparent in clinical trials but have come to light subsequently during routine clinical practice? Both within the clinical trials and in those patients treated with either compassionate supply from Alexion or funded through the PCT, Trust or NHS England we have seen very few side effects that affect either the management of the condition or the quality
HST1;1b. aHUS UK Response 1.pdf;portfoliodocument;5;compassionate;1;    5. 75 (+/- ) new onset patients in period based on incident expectation of 0.4 per million and range of between         20 and 30 per annum     6. 45 of new onset prescribed eclizumab under trial ,PCT, interim or compassionate provision.     7. Health of remaining new onset, if they exist not know but will be added to the potential for transplant or         relapse
HST10;1-2.pdf;https://www.nice.org.uk/guidance/HST10/documents/1-2#page=16;16;managed access;0;"                   removed XXXXXX) QALY weighting     Patisiran does not meet the criteria for applying a QALY weight Managed access     Committee was convinced of the patisiran’s clinical benefit; uncertainties lie arrangement        with how the clinical benefit is translated in economic data (e.g., model                    structure, utilities), therefore further clinical data collection is unlikely to"
HST10;1-2.pdf;https://www.nice.org.uk/guidance/HST10/documents/1-2#page=19;19;compassionate;0;"   – Patisiran’s long term studies suggest benefit of patisiran is       maintained and prolonged    – Positive experience of compassionate access programme       and EAMS: 10 patients treated for over a year;       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"
HST10;1-2.pdf;https://www.nice.org.uk/guidance/HST10/documents/1-2#page=34;34;managed access;0;Additional company comments ECD consultation responses • Managed access arrangement: additional data, especially long-term data, are going to be   extremely important in defining the true value of patisiran therefore a managed access   arrangement should be considered
HST10;1-2.pdf;https://www.nice.org.uk/guidance/HST10/documents/1-2#page=34;34;managed access;0;ECD consultation responses • Managed access arrangement: additional data, especially long-term data, are going to be   extremely important in defining the true value of patisiran therefore a managed access   arrangement should be considered • Application of QALY weighing should be reviewed: QALY-gain in base-case analysis and
HST10;committee-papers-2.pdf;portfoliodocument;14;early access;1;              patisiran for different durations, depending on when they entered the               study. The committee was also aware that patisiran has been available               through the Early Access to Medicines Scheme and that the company               intended to release data collected as part of this in the next 12 months.               The committee concluded that there was no long-term clinical evidence
HST10;committee-papers-2.pdf;portfoliodocument;14;early access to medicines;1;              patisiran for different durations, depending on when they entered the               study. The committee was also aware that patisiran has been available               through the Early Access to Medicines Scheme and that the company               intended to release data collected as part of this in the next 12 months.               The committee concluded that there was no long-term clinical evidence
HST10;committee-papers-2.pdf;portfoliodocument;25;managed access;1;                                                               CONFIDENTIAL UNTIL PUBLISHED Managed access 4.27          The committee reiterated the uncertainties associated with patisiran. It               recalled that, although the clinical evidence might be associated with
HST10;committee-papers-2.pdf;portfoliodocument;25;managed access;1;              an inaccurate reflection of the true expected cost effectiveness (see               section 4.12). It therefore noted that further data collection, as proposed in               a managed access arrangement, would not be a possible route to               resolving the key uncertainties associated with patisiran because it would               not address the uncertainties in the economic model. The committee
HST10;committee-papers-2.pdf;portfoliodocument;25;managed access;1;              acknowledged that long-term data were already being collected and would               be made available in the future (see section 4.9). It concluded that               patisiran could not be recommended and that a managed access               arrangement would be unlikely to resolve the uncertainties. Conclusion
HST10;committee-papers-2.pdf;portfoliodocument;46;managed access;1;if access to patisiran is not provided, when considered alongside other therapies for orphan indications that have been recommended by NICE. 4.27 Managed access ECD: the committee considered that the company’s model, defined by a combination of the severity of polyneuropathy (PND score) and cardiomyopathy (NT-proBNP), did
HST10;committee-papers-2.pdf;portfoliodocument;47;compassionate;1;defining the true value of patisiran. We note that in his expert statement to the Committee, Prof. Hawkins reported, “The experience of my colleagues at the NAC treating patients through compassionate access (over one year) and Early Access to Medicine Schemes has been extremely favourable. Remarkable clinically significant improvements of well-being and function
HST10;committee-papers-2.pdf;portfoliodocument;47;early access;1;We note that in his expert statement to the Committee, Prof. Hawkins reported, “The experience of my colleagues at the NAC treating patients through compassionate access (over one year) and Early Access to Medicine Schemes has been extremely favourable. Remarkable clinically significant improvements of well-being and function have occurred in a majority of cases, including regaining the ability to walk unaided.”
HST10;committee-papers-2.pdf;portfoliodocument;56;compassionate;1;prolonged. 3. Very positive experience in the National Amyloidosis Centre among patients receiving patisiran via the compassionate access programme and EAMS. We have treated 30 patients with hereditary ATTR amyloidosis, ten for over one year. The treatment has been safe, and several of the ten patients who have been treated for one year have reported very significant improvements in mobility and nerve symptoms. The single patient who was
HST10;committee-papers-2.pdf;portfoliodocument;56;compassionate;1;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX Figure: Serial Tc-DPD scans in a patient with hATTR amyloidosis with cardiac involvement, one year apart following treatment with patisiran via UK compassionate scheme. XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=24;24;compassionate;0;                     defining the true value of patisiran.                      We note that in his expert statement to the Committee, Prof. Hawkins reported, “The experience of                      my colleagues at the NAC treating patients through compassionate access (over one year) and Early                      Access to Medicine Schemes has been extremely favourable. Remarkable clinically significant                      improvements of well-being and function have occurred in a majority of cases, including regaining
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=24;24;managed access;0;Consultee            Comment                                                                                               Response Alnylam                                                                                                                    Thank you for your                      4.27 Managed access                                                                                   comment. The                                                                                                                            committee was able to                      ECD: the committee considered that the company’s model, defined by a combination of the severity
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=24;24;managed access;0;                     patisiran. Consequently, this ECD criticism does not substantiate the overall negative                      recommendation.                      ECD: It therefore noted that further data collection, as proposed in a managed access arrangement,                      would not be a possible route to resolving the key uncertainties associated with patisiran because it                      would not address the uncertainties in the economic model.
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=28;28;compassionate;0;                                                                                                                            greater benefit in halting                        3. Very positive experience in the National Amyloidosis Centre among patients receiving patisiran    or reversing                        via the compassionate access programme and EAMS. We have treated 30 patients with                    progression of the                        hereditary ATTR amyloidosis, ten for over one year. The treatment has been safe, and several of      disease. Clinical                        the ten patients who have been treated for one year have reported very significant improvements      evidence therefore
