"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"1";"0";"0";"0";"0";"0";"0";"0"
"2";"HST1";"04 - Manufacturer clarification response.pdf";"portfoliodocument";"4";"compassionate";"1";"   retrospective eculizumab study (C09-001r), each of which attempted to collect data from    all patients on eculizumab prior the commercial availability of eculizumab. Specifically,    physicians receiving drug for patients through the Alexion-sponsored compassionate use    program were contacted to engage in clinical review and participation in the Alexion C09-    001r trial, a retrospective, observational, non-interventional trial of patients who had been"
"3";"HST1";"04 - Manufacturer clarification response.pdf";"portfoliodocument";"4";"compassionate";"1";"   incorrectly noted in the responses to Questions 4 and 7 that patients enrolled in the C09-    001r retrospective data collection were all receiving eculizumab through the Alexion-    sponsored compassionate use program; our apologies. More than half of the patients in    this study received eculizumab through a commercial purchase; however, this does not    impact the clinical data results in any way."
"4";"HST1";"04 - Manufacturer clarification response.pdf";"portfoliodocument";"8";"compassionate";"1";"diagnosis of aHUS and had received at least one dose of eculizumab prior to initiation of Alexion-sponsored controlled clinical trial through the Alexion pre-approval compassionate use program. As this was a non-study treatment protocol, the dosing regimen was not specified; the duration of usage varied among patients, ranging from a single dose to chronic therapy, at the treating physician’s discretion. Xxxxxxxxxxxx"
"5";"HST1";"04 - Manufacturer clarification response.pdf";"portfoliodocument";"8";"compassionate";"1";"submitted on October 18th, we incorrectly noted in the responses to Questions 4 and 7 that patients enrolled in the C09-001r retrospective data collection were all receiving eculizumab through the Alexion-sponsored compassionate use program; our apologies. More than half of the patients in this study received eculizumab through a commercial purchase; however, this does not impact the clinical data results in any way."
"6";"HST1";"08 - Consultee submission - aHUS Action Part 1 - Professional Statement.pdf";"portfoliodocument";"10";"compassionate";"1";"quality of life? Are there any adverse effects that were not apparent in clinical trials but have come to light subsequently during routine clinical practice? Both within the clinical trials and in those patients treated with either compassionate supply from Alexion or funded through the PCT, Trust or NHS England we have seen very few side effects that affect either the management of the condition or the quality"
"7";"HST1";"1b. aHUS UK Response 1.pdf";"portfoliodocument";"5";"compassionate";"1";"    5. 75 (+/- ) new onset patients in period based on incident expectation of 0.4 per million and range of between         20 and 30 per annum     6. 45 of new onset prescribed eclizumab under trial ,PCT, interim or compassionate provision.     7. Health of remaining new onset, if they exist not know but will be added to the potential for transplant or         relapse"
"9";"HST10";"1-2.pdf";"https://www.nice.org.uk/guidance/HST10/documents/1-2#page=16";"16";"managed access";"0";"                   removed XXXXXX) QALY weighting     Patisiran does not meet the criteria for applying a QALY weight Managed access     Committee was convinced of the patisiran’s clinical benefit; uncertainties lie arrangement        with how the clinical benefit is translated in economic data (e.g., model                    structure, utilities), therefore further clinical data collection is unlikely to"
"8";"HST10";"1-2.pdf";"https://www.nice.org.uk/guidance/HST10/documents/1-2#page=19";"19";"compassionate";"0";"   – Patisiran’s long term studies suggest benefit of patisiran is       maintained and prolonged    – Positive experience of compassionate access programme       and EAMS: 10 patients treated for over a year;       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"
"10";"HST10";"1-2.pdf";"https://www.nice.org.uk/guidance/HST10/documents/1-2#page=34";"34";"managed access";"0";"Additional company comments ECD consultation responses • Managed access arrangement: additional data, especially long-term data, are going to be   extremely important in defining the true value of patisiran therefore a managed access   arrangement should be considered"
"11";"HST10";"1-2.pdf";"https://www.nice.org.uk/guidance/HST10/documents/1-2#page=34";"34";"managed access";"0";"ECD consultation responses • Managed access arrangement: additional data, especially long-term data, are going to be   extremely important in defining the true value of patisiran therefore a managed access   arrangement should be considered • Application of QALY weighing should be reviewed: QALY-gain in base-case analysis and"
